fold,model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
4,specialist_lightgbm_calibrated,MACRO,1937.0,0.4427038467989777,0.5566038752276452,0.48959875524486446,0.242430701141619,0.6781404386541378,1.2041132673513992,0.23572303810734385
4,specialist_catboost_calibrated,T0_cold,484.0,0.4690082644628099,0.49211505168069386,0.4652401063093895,0.24914624524594722,0.6914389415107564,0.8702688123707634,0.1894273127753304
4,specialist_catboost_calibrated,T1_first_inquiry,484.0,0.47107438016528924,0.6128957648026315,0.5534370396020483,0.23674432700080913,0.6656888931811545,1.2996777658431795,0.24561403508771928
4,specialist_catboost_calibrated,T2_engaged,969.0,0.38802889576883387,0.6043288723045459,0.4745972759974273,0.2329860984253247,0.6596094880298067,1.3284163193682823,0.26063829787234044
4,specialist_catboost_calibrated,MACRO,1937.0,0.4427038467989777,0.5697798962626238,0.49775814063628837,0.23962555689069368,0.6722457742405726,1.1661209658607417,0.23189321524513007
4,pooled_catboost_calibrated,T0_cold,484.0,0.4690082644628099,0.4961689435883371,0.49181049244686625,0.24939160354123102,0.6919316314650392,1.1748628967005303,0.21145374449339208
4,pooled_catboost_calibrated,T1_first_inquiry,484.0,0.47107438016528924,0.5997121710526316,0.5273084481223582,0.2401791735532942,0.6729621036983778,1.0830648048693161,0.2149122807017544
4,pooled_catboost_calibrated,T2_engaged,969.0,0.38802889576883387,0.6100337268128161,0.461523767362404,0.23214156880107822,0.6567563736607941,1.3018479929809168,0.24202127659574468
4,pooled_catboost_calibrated,MACRO,1937.0,0.4427038467989777,0.568638280484595,0.49354756931054283,0.24057078196520112,0.6738833696080704,1.1865918981835877,0.22279576726363037
4,validation_selected_hybrid,T0_cold,484.0,0.4690082644628099,0.4854814103772776,0.47099204002035344,0.24978136492618727,0.6927160451321802,1.0443225748449159,0.2026431718061674
