feature,columns,ap_drop_mean,ap_drop_std,auc_drop_mean,auc_drop_std,family
score_month,score_month,0.0004340389590688831,0.0006731856115906185,0.0005974995154098828,0.0003206159160868702,current_inquiry
hist_prior_asked_visit_rate,hist_prior_asked_visit_rate,0.00040831466492796675,0.0006142823412604273,-0.0005965303353363538,0.0003931881558698873,interaction_history
spot_lon,spot_lon,0.0003666406603221706,0.0015755747912213022,0.0007809168443496439,0.0004861937989566493,spot_static
hist_prior_inquiries,hist_prior_inquiries,0.00024882004178805595,0.003819450013241332,0.0010336305485558305,0.002435640829949198,interaction_history
search_sector,search_sector,0.00022133926018752526,0.0007640488864190338,-0.00013156619499909983,0.0003250611401156887,lead_intake
spot_municipality,spot_municipality,0.00011009806295574354,0.0009963359716323378,-0.0016854041480908188,0.0010631611646104244,spot_static
spot_floor_material,spot_floor_material,0.0001063374447202392,0.0008598767575634271,0.00038791432448144204,0.00024282204264272105,spot_static
spot_sector_name,spot_sector_name,0.00010174409985759247,0.0008538566448879291,0.0003673192479161314,0.0006538051710608156,spot_static
spot_area_sqm,spot_area_sqm,8.305418501088901e-05,0.0003104829008482455,0.00017154487303738808,0.000805306414153746,spot_static
spot_price_total_mxn_rent,spot_price_total_mxn_rent,7.813340960853843e-05,0.0012708185959052778,-0.0005185113394069685,0.00016274399246712137,spot_static
hist_prior_message_length_mean,hist_prior_message_length_mean,2.2777352338465562e-05,0.0006943538858020802,4.433998836976816e-05,0.000735479933201589,interaction_history
has_availability_context,has_availability_context,0.0,0.0,0.0,0.0,context_flags
has_spot_context,has_spot_context,0.0,0.0,0.0,0.0,context_flags
compatible_modality,compatible_modality,0.0,0.0,0.0,0.0,lead_spot_match
has_inquiry_context,has_inquiry_context,0.0,0.0,0.0,0.0,context_flags
spot_state,spot_state,-1.6600895101936965e-05,0.0007993012772170182,0.0002839697615816039,0.0007724679069766711,spot_static
preferred_municipality,preferred_municipality,-6.949857482669852e-05,0.0009420488776375292,-0.001068036441170861,0.0008503854463795789,lead_intake
same_preferred_municipality,same_preferred_municipality,-7.539066362907131e-05,0.0006676197940773781,-0.00020062027524723192,0.00027011493769548653,lead_spot_match
spot_modality,spot_modality,-0.00013956073116958568,0.0003387676378679472,-3.2467532467572725e-05,0.0002700399448634261,spot_static
same_preferred_corridor,same_preferred_corridor,-0.0002622755794827958,0.0001874578949534536,1.1630160883790985e-05,0.0002087565284106103,lead_spot_match
company_size,company_size,-0.0003171292967702799,0.0006923580138776822,-0.0009720876138787249,0.0015410357466968197,lead_intake
spot_parking_spaces,spot_parking_spaces,-0.00034677007886450004,0.0015656645130274738,-0.0017450087226207112,0.00024679861817687807,spot_static
same_sector,same_sector,-0.00038031704693384236,0.0005997721196247736,-0.0003455126962590649,0.00024255292534660947,lead_spot_match
availability_is_available,availability_is_available,-0.00043468528293399977,0.00039295887297828444,-0.00010418685791826476,0.00015795702668156976,availability_asof
preferred_corridor,preferred_corridor,-0.0005873970484916891,0.0016867264115029833,-0.0008746850164761177,0.000649750584196951,lead_intake
asked_visit,asked_visit,-0.0005988822955510064,0.0004236670911736891,-0.0004424307036247965,0.000319795464490136,current_inquiry
score_hour,score_hour,-0.0006509192410911524,0.0002574295833889201,-0.001107045939135598,0.0002467105892453982,current_inquiry
spot_type_name,spot_type_name,-0.0008263423552004711,0.001460410873896418,0.00012841635975955335,0.00043514728274931977,spot_static
score_weekday,score_weekday,-0.001030935854425552,0.0006559334967374814,0.0008456096142662517,0.0010323420633096458,current_inquiry
spot_price_sqm_mxn_sale,spot_price_sqm_mxn_sale,-0.0010506222682918453,0.0007597611502930405,4.361310331413293e-06,0.0005018531730497701,spot_static
rent_budget_to_price_ratio,rent_budget_to_price_ratio,-0.0013974325785786278,0.0019484975871927924,-0.0009086063190541394,0.0009949109655317402,lead_spot_match
availability_competing_inquiries_30d,availability_competing_inquiries_30d,-0.0015716665861774891,0.0015234582113470717,-0.0008133843768173054,0.0005985677633846055,availability_asof
spot_price_total_mxn_sale,spot_price_total_mxn_sale,-0.001612272228417666,0.0010081869653711442,-0.0006176100019384956,0.0008726028953339475,spot_static
requested_budget_mxn_rent_monthly,requested_budget_mxn_rent_monthly,-0.0017834052447877058,0.0020926519155908823,-0.0014971409187827466,0.0004555439539503763,current_inquiry
spot_corridor,spot_corridor,-0.0018351591376836395,0.0006345918646723128,-0.0020793758480326828,0.0005989329959094708,spot_static
hist_prior_urgency_mean,hist_prior_urgency_mean,-0.001851284869036518,0.0025718382926136017,0.0005800542740840742,0.0012023102651629286,interaction_history
requested_budget_mxn_sale_total,requested_budget_mxn_sale_total,-0.0021760587829133594,0.00039778016751280585,-0.0008722620662920289,0.00021238509395668398,current_inquiry
urgency_days,urgency_days,-0.002664195070774422,0.0010205330392383906,-0.0007690443884474707,0.001273787106481298,current_inquiry
spot_settlement,spot_settlement,-0.0031216278039127186,0.000839582772087609,-0.0014683078115914848,0.0008887158662453706,spot_static
spot_amenities_count,spot_amenities_count,-0.003125064929190624,0.003071012896290335,-0.00093574336111657,0.000772141041634069,spot_static
preferred_state,preferred_state,-0.0031559248014229936,0.001494086871741777,-0.001053741035084399,0.0007924688166039277,lead_intake
industry,industry,-0.003238602250220879,0.0006581018262686879,-0.0014268753634426145,0.000652273535342315,lead_intake
